experiment;time;requests;results;correctness
cmatch-ldp-idx;1576;50;1;0.034482758620689655
cmatch-ldp-idx;119822;0;0;0
cmatch-ldp-idx;17335;52;27;0.9310344827586207
cmatch-ldp-idx;119966;0;1;1
cmatch-ldp-idx;4303;57;1;1
cmatch-ldp-idx;2271;50;1;1
cmatch-ldp-idx;119623;0;1;1
cmatch-ldp-idx;22085;52;1;1
cmatch-ldp-idx;7284;228;10;1
cmatch-ldp-idx;12483;249;10;1
cmatch-ldp-idx;10787;178;10;1
cmatch-ldp-idx;32034;389;10;1
cmatch-ldp-idx;17819;289;10;1
call-ldp-idx;120172;0;0;0
call-ldp-idx;119409;0;0;0
call-ldp-idx;119199;0;0;0
call-ldp-idx;120737;0;0;0
call-ldp-idx;118352;0;0;0
call-ldp-idx;118523;0;0;0
call-ldp-idx;118202;0;0;0
call-ldp-idx;119039;0;0;0
call-ldp-idx;118807;0;0;0
call-ldp-idx;119000;0;0;0
call-ldp-idx;0;0;0;0
call-ldp-idx;0;0;0;0
call-ldp-idx;0;0;0;0
call-ldp-idx;0;0;0;0
call-ldp-idx;0;0;0;0
call-ldp-idx;0;0;0;0
call-ldp-idx;0;0;0;0
call-ldp-idx;0;0;0;0
call-ldp-idx;0;0;0;0
call-ldp-idx;0;0;0;0
call-ldp-idx;118721;0;10;0.5
call-ldp-idx;119694;0;1;0.05
call-ldp-idx;118121;0;1;0.05
call-ldp-idx;118612;0;1;0.05
call-ldp-idx;118293;0;19;0.95
call-ldp-idx;118417;0;0;0
call-ldp-idx;118577;0;0;0
call-ldp-idx;118994;0;0;0
call-ldp-idx;118286;0;0;0
call-ldp-idx;118742;0;0;0
call-ldp-idx;118397;0;0;0
call-ldp-idx;119214;0;0;0
call-ldp-idx;118653;0;0;0
call-ldp-idx;121019;0;0;0
call-ldp-idx;118132;0;0;0
call-ldp-idx;44039;476;10;1
call-ldp-idx;32167;483;10;1
call-ldp-idx;37013;526;10;1
